x0000,y0000,x0001,y0001
15.88,4.321488276,15.88,0.01986859149,
15.92,4.317486657,15.92,0.01986859149,
15.96,4.317486657,15.96,0.01986859149,
16,4.317486657,16,0.01986859149,
16.04,4.317486657,16.04,0.01986859149,
16.08,4.317486657,16.08,0.01986859149,
16.12,4.317486657,16.12,0.01986859149,
16.16,4.321488276,16.16,0.01986859149,
16.2,4.321488276,16.2,0.01986859149,
16.24,4.317486657,16.24,0.01986859149,
16.28,4.321488276,16.28,0.01986859149,
16.32,4.321488276,16.32,0.01986859149,
16.36,4.321488276,16.36,0.01986859149,
16.4,4.321488276,16.4,0.01986859149,
16.44,4.317486657,16.44,0.01986859149,
16.48,4.321488276,16.48,0.01986859149,
16.52,4.321488276,16.52,0.01986859149,
16.56,4.321488276,16.56,0.01986859149,
16.6,4.321488276,16.6,0.01986859149,
16.64,4.321488276,16.64,0.01986859149,
16.68,4.321488276,16.68,0.01986859149,
16.72,4.321488276,16.72,0.01986859149,
16.76,4.317486657,16.76,0.01986859149,
16.8,4.321488276,16.8,0.01986859149,
16.84,4.321488276,16.84,0.01986859149,
16.88,4.321488276,16.88,0.01986859149,
16.92,4.321488276,16.92,0.01986859149,
16.96,4.321488276,16.96,0.01986859149,
17,4.317486657,17,0.01986859149,
17.04,4.321488276,17.04,0.01986859149,
17.08,4.317486657,17.08,0.01986859149,
17.12,4.321488276,17.12,0.01986859149,
17.16,4.321488276,17.16,0.01986859149,
17.2,4.317486657,17.2,0.01986859149,
17.24,4.321488276,17.24,0.01986859149,
17.28,4.317486657,17.28,0.01986859149,
17.32,4.317486657,17.32,0.01986859149,
17.36,4.321488276,17.36,0.01986859149,
17.4,4.321488276,17.4,0.01986859149,
17.44,4.321488276,17.44,0.01986859149,
17.48,4.321488276,17.48,0.01986859149,
17.52,4.321488276,17.52,0.01586719737,
17.56,4.321488276,17.56,0.01986859149,
17.6,4.321488276,17.6,0.01986859149,
17.64,4.321488276,17.64,0.01986859149,
17.68,4.321488276,17.68,0.01986859149,
17.72,4.321488276,17.72,0.01986859149,
17.76,4.321488276,17.76,0.01986859149,
17.8,4.321488276,17.8,0.01986859149,
17.84,4.321488276,17.84,0.01986859149,
17.88,4.321488276,17.88,0.01986859149,
17.92,4.321488276,17.92,0.01986859149,
17.96,4.321488276,17.96,0.01986859149,
18,4.321488276,18,0.01986859149,
18.04,4.317486657,18.04,0.01986859149,
18.08,4.321488276,18.08,0.01986859149,
18.12,4.321488276,18.12,0.01986859149,
18.16,4.321488276,18.16,0.01986859149,
18.2,4.321488276,18.2,0.01986859149,
18.24,4.317486657,18.24,0.01986859149,
18.28,4.321488276,18.28,0.01986859149,
18.32,4.321488276,18.32,0.01986859149,
18.36,4.321488276,18.36,0.01986859149,
18.4,4.321488276,18.4,0.01986859149,
18.44,4.321488276,18.44,0.01986859149,
18.48,4.317486657,18.48,0.01986859149,
18.52,4.321488276,18.52,0.01986859149,
18.56,4.321488276,18.56,0.01986859149,
18.6,4.321488276,18.6,0.01986859149,
18.64,4.321488276,18.64,0.01986859149,
18.68,4.317486657,18.68,0.01986859149,
18.72,4.325489895,18.72,0.01986859149,
18.76,4.321488276,18.76,0.01986859149,
18.8,4.321488276,18.8,0.01986859149,
18.84,4.321488276,18.84,0.01986859149,
18.88,4.321488276,18.88,0.01986859149,
18.92,4.321488276,18.92,0.01986859149,
18.96,4.321488276,18.96,0.01986859149,
19,4.317486657,19,0.01986859149,
19.04,4.321488276,19.04,0.01986859149,
19.08,4.321488276,19.08,0.01986859149,
19.12,4.321488276,19.12,0.01986859149,
19.16,4.321488276,19.16,0.01986859149,
19.2,4.321488276,19.2,0.01986859149,
19.24,4.321488276,19.24,0.01986859149,
19.28,4.321488276,19.28,0.01986859149,
19.32,4.317486657,19.32,0.01986859149,
19.36,4.321488276,19.36,0.01986859149,
19.4,4.321488276,19.4,0.01986859149,
19.44,4.317486657,19.44,0.01986859149,
19.48,4.321488276,19.48,0.01986859149,
19.52,4.321488276,19.52,0.01986859149,
19.56,4.321488276,19.56,0.01986859149,
19.6,4.321488276,19.6,0.01986859149,
19.64,4.321488276,19.64,0.01986859149,
19.68,4.321488276,19.68,0.01986859149,
19.72,4.321488276,19.72,0.01986859149,
19.76,4.321488276,19.76,0.01986859149,
19.8,4.321488276,19.8,0.01986859149,
19.84,4.317486657,19.84,0.01986859149,
19.88,4.321488276,19.88,0.01986859149,
19.92,4.325489895,19.92,0.01986859149,
19.96,4.321488276,19.96,0.01986859149,
